group;id;area;area_DV;bird_id
Bachant Malakoff;homerange;3166.84881005859;339930.577243365;Bachant Malakoff
Bachant Malakoff.1;homerange;3166.84881005859;7273458.47765488;Bachant Malakoff
Bachant Malakoff.2;homerange;3166.84881005859;3986391.98082048;Bachant Malakoff
Bachant Malakoff.3;homerange;3166.84881005859;340312.544257957;Bachant Malakoff
Bachant Malakoff.4;homerange;3166.84881005859;340072.57401251;Bachant Malakoff
Bachant Malakoff.5;homerange;3166.84881005859;1343484.47200378;Bachant Malakoff
Bachant Malakoff.6;homerange;3166.84881005859;809896.55410748;Bachant Malakoff
Bachant Malakoff.7;homerange;3166.84881005859;1107767.58632412;Bachant Malakoff
Bachant Malakoff.8;homerange;3166.84881005859;343402.004237477;Bachant Malakoff
Bachant Malakoff.9;homerange;3166.84881005859;608858.315629657;Bachant Malakoff
Bachant Malakoff.10;homerange;3166.84881005859;341945.374969348;Bachant Malakoff
Bachant Malakoff.11;homerange;3166.84881005859;669654.7091616;Bachant Malakoff
Bachant Malakoff.12;homerange;3166.84881005859;10278648.4392311;Bachant Malakoff
Bachant Malakoff.13;homerange;3166.84881005859;1371727.62085018;Bachant Malakoff
Bachant Malakoff.14;homerange;3166.84881005859;340137.847806592;Bachant Malakoff
Bachant Malakoff.15;homerange;3166.84881005859;340617.265863802;Bachant Malakoff
Bachant Malakoff.16;homerange;3166.84881005859;793952.71792899;Bachant Malakoff
Bachant Malakoff.17;homerange;3166.84881005859;342527.647973861;Bachant Malakoff
Bachant Malakoff.18;homerange;3166.84881005859;695701.379071169;Bachant Malakoff
Custodelle;homerange;2013.07058554688;92177.2679345794;Custodelle
Custodelle.1;homerange;2013.07058554688;92029.5212576389;Custodelle
Custodelle.2;homerange;2013.07058554688;95312.9579142462;Custodelle
Custodelle.3;homerange;2013.07058554688;189149.779939635;Custodelle
Custodelle.4;homerange;2013.07058554688;161800.733791914;Custodelle
Custodelle.5;homerange;2013.07058554688;160289.519812927;Custodelle
Custodelle.6;homerange;2013.07058554688;95364.8107439671;Custodelle
Custodelle.7;homerange;2013.07058554688;189389.095371924;Custodelle
Custodelle.8;homerange;2013.07058554688;92839.0333047975;Custodelle
Custodelle.9;homerange;2013.07058554688;93362.8993763048;Custodelle
Custodelle.10;homerange;2013.07058554688;243998.691384069;Custodelle
Custodelle.11;homerange;2013.07058554688;95048.6419092864;Custodelle
Custodelle.12;homerange;2013.07058554688;315170.22680825;Custodelle
Custodelle.13;homerange;2013.07058554688;99802.1411245646;Custodelle
Custodelle.14;homerange;2013.07058554688;251689.20203932;Custodelle
Custodelle.15;homerange;2013.07058554688;283906.756767956;Custodelle
Custodelle.16;homerange;2013.07058554688;94621.1251512431;Custodelle
Custodelle.17;homerange;2013.07058554688;318576.122464811;Custodelle
Custodelle.18;homerange;2013.07058554688;1503122.15842689;Custodelle
Custodelle.19;homerange;2013.07058554688;95668.3148463636;Custodelle
Custodelle.20;homerange;2013.07058554688;98333.7242416423;Custodelle
Custodelle.21;homerange;2013.07058554688;97471.2709797565;Custodelle
Custodelle.22;homerange;2013.07058554688;93485.7708263807;Custodelle
Custodelle.23;homerange;2013.07058554688;95155.2240719832;Custodelle
Custodelle.24;homerange;2013.07058554688;93903.8346398249;Custodelle
Custodelle.25;homerange;2013.07058554688;95373.1131875413;Custodelle
Custodelle.26;homerange;2013.07058554688;3314590.91347952;Custodelle
Custodelle.27;homerange;2013.07058554688;478745.463787461;Custodelle
Custodelle.28;homerange;2013.07058554688;163539.697146572;Custodelle
Custodelle.29;homerange;2013.07058554688;9217523.13948948;Custodelle
Custodelle.30;homerange;2013.07058554688;94197.1578128021;Custodelle
Custodelle.31;homerange;2013.07058554688;95455.1691840133;Custodelle
Custodelle.32;homerange;2013.07058554688;359074.293597683;Custodelle
Custodelle.33;homerange;2013.07058554688;304459.825528618;Custodelle
Custodelle.34;homerange;2013.07058554688;92879.779652372;Custodelle
Custodelle.35;homerange;2013.07058554688;95405.0605140664;Custodelle
Custodelle.36;homerange;2013.07058554688;777793.416213042;Custodelle
Germignies A;homerange;6643.87119204102;25386015.5711599;Germignies A
Germignies A.1;homerange;6643.87119204102;12915385.6401829;Germignies A
Germignies A.2;homerange;6643.87119204102;2989323.0855284;Germignies A
Germignies A.3;homerange;6643.87119204102;12075230.9802966;Germignies A
Germignies A.4;homerange;6643.87119204102;2974121.30559798;Germignies A
Germignies A.5;homerange;6643.87119204102;2973353.28518284;Germignies A
Germignies A.6;homerange;6643.87119204102;7125282.05765677;Germignies A
Germignies B;homerange;13219.604651709;79352038.8867327;Germignies B
Germignies B.1;homerange;13219.604651709;544925.95041474;Germignies B
Germignies B.2;homerange;13219.604651709;544469.68743214;Germignies B
Germignies B.3;homerange;13219.604651709;492645.834404271;Germignies B
Germignies B.4;homerange;13219.604651709;11286258.1409307;Germignies B
Germignies B.5;homerange;13219.604651709;493312.36789789;Germignies B
Germignies B.6;homerange;13219.604651709;494150.763797852;Germignies B
Germignies B.7;homerange;13219.604651709;556616.959022205;Germignies B
